№,Code,Browser,CLDR Short Name
22,U+1F914,🤔,thinking face
24,U+1F610,😐,neutral face
25,U+1F611,😑,expressionless face
26,U+1F636,😶,face without mouth
27,U+1F644,🙄,face with rolling eyes
28,U+1F60F,😏,smirking face
29,U+1F623,😣,persevering face
30,U+1F625,😥,sad but relieved face
31,U+1F62E,😮,face with open mouth
32,U+1F910,🤐,zipper-mouth face
33,U+1F62F,😯,hushed face
34,U+1F62A,😪,sleepy face
35,U+1F62B,😫,tired face
36,U+1F634,😴,sleeping face
37,U+1F60C,😌,relieved face
38,U+1F61B,😛,face with tongue
39,U+1F61C,😜,winking face with tongue
40,U+1F61D,😝,squinting face with tongue
41,U+1F924,🤤,drooling face
42,U+1F612,😒,unamused face
43,U+1F613,😓,downcast face with sweat
44,U+1F614,😔,pensive face
45,U+1F615,😕,confused face
46,U+1F643,🙃,upside-down face
47,U+1F911,🤑,money-mouth face
48,U+1F632,😲,astonished face
